metric,direction,action_title,action_steps,expected_impact,effort,owner,evidence_needed
Revenue,DOWN,Investigate channel revenue drop,"Break down revenue by channel and compare against baseline; check campaign changes, tracking issues, and promo calendar; identify top negative contributors.",High,Medium,Marketing Lead,"Channel revenue/orders contribution vs baseline"
Orders,DOWN,Diagnose funnel & traffic quality,"Check sessions vs orders and conversion rate; review landing pages and checkout health; verify traffic mix changes by channel.",High,High,Marketing + Product,"Sessions, conversion trend, channel mix"
AOV,DOWN,Improve basket value via bundles & upsell,"Identify category mix shift; promote bundles/cross-sell; highlight high-AOV products; review discounts that may be lowering order value.",Medium,Low,Marketing,"AOV trend, category mix, discount intensity"
Conversion Rate,DOWN,Run conversion diagnostics & rollback checks,"Inspect recent site/app changes; review checkout errors and page speed; analyze channel quality; run A/B test or rollback if needed.",High,High,Product/Tech,"Conversion trend, sessions, channel mix, release log"
Return Rate,UP,Investigate return spike drivers,"Identify categories with increased return rate; check shipping delays and product issues; update product info/quality checks; adjust policies if needed.",High,Medium,Operations + Merch,"Return rate trend + category breakdown + shipping days"
Avg Shipping Days,UP,Reduce fulfillment delays,"Check order volume spikes; review staffing/capacity; courier SLA; update cut-off times; proactively communicate delays to customers.",Medium,Medium,Operations,"Shipping days trend + orders trend"
CAC Proxy,UP,Reallocate budget to efficient channels,"Compare CAC proxy by channel; reduce spend on high-CAC channels; shift to low-CAC channels; refresh creatives and targeting.",Medium,Medium,Marketing Lead,"Spend, orders by channel, channel CAC"
Revenue,UP,Scale what’s working (controlled),"Confirm uplift drivers (channel/category); cautiously scale spend or promotions; monitor CAC and return rate; avoid over-discounting.",Medium,Medium,Marketing Lead,"Driver breakdown + CAC/return guardrails"
Orders,UP,Ensure capacity & stock readiness,"Validate operations capacity and inventory; adjust fulfillment resources; maintain service levels to avoid shipping/return issues.",Medium,Medium,Operations,"Orders trend + shipping days + returns"
Return Rate,DOWN,Maintain quality controls,"Keep monitoring return hotspots; maintain QC checks; preserve clear product info; avoid changes that increase returns.",Low,Low,Operations + Merch,"Return rate trend by category"
